variable,type,test,statistic,p_value,effect_size,p_adj_fdr
t2m_pre_mean_rr,continuous,kruskal,20.361585133707067,0.0023873352171208443,0.027460009815883493,0.0025578591612009046
t2m_pre_mean_hr,continuous,kruskal,23.78706814448592,0.0005715079937470253,0.03407484318867035,0.0006594323004773369
t2m_pre_sdnn,continuous,kruskal,277.43617788665046,5.559003614277115e-57,0.5301487849348642,8.338505421415672e-56
t2m_pre_rmssd,continuous,kruskal,115.77471890184859,1.255968089416399e-22,0.213154793984172,1.8839521341245984e-22
t2m_pre_hf,continuous,kruskal,206.47452977741688,7.937459447296274e-42,0.3833165005304338,2.9765472927361027e-41
t2m_pre_lf,continuous,kruskal,253.90103470188023,6.014111332770182e-52,0.47399815430569836,4.5105834995776364e-51
t2m_pre_vlf,continuous,kruskal,216.93372077061434,4.688270218718113e-44,0.40331495367230275,2.3441351093590565e-43
age,continuous,kruskal,63.46275203441513,8.882643009298665e-12,0.10987141880385302,1.110330376162333e-11
weight_kg,continuous,kruskal,148.89049786242015,1.327850782512566e-29,0.27321318902948405,2.8453945339554985e-29
height_m_final,continuous,kruskal,18.45377485548583,0.005192820583510776,0.023812189016225293,0.005192820583510776
imc_final,continuous,kruskal,137.3193556672779,3.685557621473094e-27,0.25108863416305527,6.910420540262052e-27
bp_systolic,continuous,kruskal,185.13823071753845,2.7480754844996824e-37,0.3425205176243565,8.244226453499047e-37
bp_diastolic,continuous,kruskal,70.20368836297969,3.713852357264021e-13,0.12276039839957875,5.064344123541847e-13
bp_pam,continuous,kruskal,129.88663125384033,1.3579626049609213e-25,0.2368769240035188,2.2632710082682024e-25
bp_pp,continuous,kruskal,151.8724726993391,3.1089720667198164e-30,0.27891486175781854,7.772430166799541e-30
