variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,median_1,median_2,median_diff,mean_1,mean_2,n_1,n_2,p_adj_fdr
t2m_pre_mean_rr,0,1,mannwhitneyu,3566.5,0.0001091587803810136,-0.3138047138047138,797.0,872.0,-75.0,796.5333333333333,865.6969696969697,105,99,0.0007641114626670952
t2m_pre_mean_rr,0,2,mannwhitneyu,2581.5,0.35746851863731155,-0.08941798941798942,797.0,836.0,-39.0,796.5333333333333,825.425925925926,105,54,0.441578758316679
t2m_pre_mean_rr,0,3,mannwhitneyu,1672.0,2.3569182262565606e-05,-0.4102292768959436,797.0,905.5,-108.5,796.5333333333333,879.9481481481481,105,54,0.00024747641375693887
t2m_pre_mean_rr,0,4,mannwhitneyu,2618.5,0.03513915814017827,-0.19554531490015362,797.0,835.0,-38.0,796.5333333333333,845.983870967742,105,62,0.0819913689937493
t2m_pre_mean_rr,0,5,mannwhitneyu,2645.5,1.6563724263104294e-05,-0.3701190476190476,797.0,880.0,-83.0,796.5333333333333,867.6700000000001,105,80,0.00024747641375693887
t2m_pre_mean_rr,0,6,mannwhitneyu,3197.5,0.022810171845842615,-0.19862155388471178,797.0,852.0,-55.0,796.5333333333333,837.0526315789474,105,76,0.05987670109533687
t2m_pre_mean_rr,1,2,mannwhitneyu,3310.5,0.015012832503742342,0.23849607182940516,872.0,836.0,36.0,865.6969696969697,825.425925925926,99,54,0.0525449137630982
t2m_pre_mean_rr,1,3,mannwhitneyu,2509.0,0.5324585182993163,-0.0613542835765058,872.0,905.5,-33.5,865.6969696969697,879.9481481481481,99,54,0.5885067833834549
t2m_pre_mean_rr,1,4,mannwhitneyu,3524.5,0.11395129602925788,0.1484196806777452,872.0,835.0,37.0,865.6969696969697,845.983870967742,99,62,0.1994147680512013
t2m_pre_mean_rr,1,5,mannwhitneyu,3955.5,0.9907402965663586,-0.0011363636363636363,872.0,880.0,-8.0,865.6969696969697,867.6700000000001,99,80,0.9907402965663586
t2m_pre_mean_rr,1,6,mannwhitneyu,4164.5,0.2262100068634897,0.10699096225412015,872.0,852.0,20.0,865.6969696969697,837.0526315789474,99,76,0.32214397024400415
t2m_pre_mean_rr,2,3,mannwhitneyu,966.5,0.0025495022930434276,-0.33710562414266115,836.0,905.5,-69.5,825.425925925926,879.9481481481481,54,54,0.013384887038477995
t2m_pre_mean_rr,2,4,mannwhitneyu,1515.0,0.38028583914870817,-0.09498207885304659,836.0,835.0,1.0,825.425925925926,845.983870967742,54,62,0.44366681234015953
t2m_pre_mean_rr,2,5,mannwhitneyu,1572.5,0.007748452121825068,-0.27199074074074076,836.0,880.0,-44.0,825.425925925926,867.6700000000001,54,80,0.03254349891166529
t2m_pre_mean_rr,2,6,mannwhitneyu,1797.5,0.2301028358885744,-0.12402534113060429,836.0,852.0,-16.0,825.425925925926,837.0526315789474,54,76,0.32214397024400415
t2m_pre_mean_rr,3,4,mannwhitneyu,2096.0,0.019643345258225597,0.2520908004778972,905.5,835.0,70.5,879.9481481481481,845.983870967742,54,62,0.058930035774676794
t2m_pre_mean_rr,3,5,mannwhitneyu,2392.0,0.29363537806783335,0.10740740740740741,905.5,880.0,25.5,879.9481481481481,867.6700000000001,54,80,0.3853964337140313
t2m_pre_mean_rr,3,6,mannwhitneyu,2431.0,0.07372805543554592,0.18469785575048733,905.5,852.0,53.5,879.9481481481481,837.0526315789474,54,76,0.1407535603769513
t2m_pre_mean_rr,4,5,mannwhitneyu,2019.5,0.058471547662888826,-0.18568548387096775,835.0,880.0,-45.0,845.983870967742,867.6700000000001,62,80,0.12279025009206654
t2m_pre_mean_rr,4,6,mannwhitneyu,2279.5,0.7449432406810974,-0.03247028862478778,835.0,852.0,-17.0,845.983870967742,837.0526315789474,62,76,0.7821904027151523
t2m_pre_mean_rr,5,6,mannwhitneyu,3390.0,0.21526498741307043,0.11513157894736842,880.0,852.0,28.0,867.6700000000001,837.0526315789474,80,76,0.32214397024400415
t2m_pre_mean_hr,0,1,mannwhitneyu,6926.5,4.059510002335119e-05,0.33265993265993266,75.0,68.0,7.0,75.74285714285715,69.0,105,99,0.0002841657001634583
t2m_pre_mean_hr,0,2,mannwhitneyu,3025.0,0.4903827295732526,0.06701940035273368,75.0,71.5,3.5,75.74285714285715,74.22222222222223,105,54,0.5420019642651739
t2m_pre_mean_hr,0,3,mannwhitneyu,3927.0,2.485895286744666e-05,0.41132075471698115,75.0,66.0,9.0,75.74285714285715,68.52830188679245,105,53,0.00026101900510818994
t2m_pre_mean_hr,0,4,mannwhitneyu,3809.0,0.06655148480892416,0.17019969278033795,75.0,72.0,3.0,75.74285714285715,72.40322580645162,105,62,0.11646509841561728
t2m_pre_mean_hr,0,5,mannwhitneyu,5822.5,6.842594033444147e-06,0.3863095238095238,75.0,68.0,7.0,75.74285714285715,68.5875,105,80,0.0001436944747023271
t2m_pre_mean_hr,0,6,mannwhitneyu,4987.0,0.004155802811237962,0.24987468671679197,75.0,69.5,5.5,75.74285714285715,70.23684210526316,105,76,0.014545309839332868
t2m_pre_mean_hr,1,2,mannwhitneyu,1948.5,0.005682006820644466,-0.27104377104377103,68.0,71.5,-3.5,69.0,74.22222222222223,99,54,0.0170460204619334
t2m_pre_mean_hr,1,3,mannwhitneyu,2767.5,0.5787270210297053,0.0548885077186964,68.0,66.0,2.0,69.0,68.52830188679245,99,53,0.6076633720811906
t2m_pre_mean_hr,1,4,mannwhitneyu,2500.0,0.04815607314642048,-0.18540241120886283,68.0,72.0,-4.0,69.0,72.40322580645162,99,62,0.10112775360748301
t2m_pre_mean_hr,1,5,mannwhitneyu,3932.5,0.9375190091640833,-0.006944444444444444,68.0,68.0,0.0,69.0,68.5875,99,80,0.9375190091640833
t2m_pre_mean_hr,1,6,mannwhitneyu,3499.5,0.4300171203918861,-0.06977671451355662,68.0,69.5,-1.5,69.0,70.23684210526316,99,76,0.5185357447148292
t2m_pre_mean_hr,2,3,mannwhitneyu,1944.5,0.0013694473380867806,0.3588399720475192,71.5,66.0,5.5,74.22222222222223,68.52830188679245,54,53,0.007189598524955598
t2m_pre_mean_hr,2,4,mannwhitneyu,1829.0,0.3920943634636065,0.09259259259259259,71.5,72.0,-0.5,74.22222222222223,72.40322580645162,54,62,0.5146238520459836
t2m_pre_mean_hr,2,5,mannwhitneyu,2817.5,0.0028578939010191835,0.30439814814814814,71.5,68.0,3.5,74.22222222222223,68.5875,54,80,0.012003154384280571
t2m_pre_mean_hr,2,6,mannwhitneyu,2450.0,0.060166168513384057,0.19395711500974658,71.5,69.5,2.0,74.22222222222223,70.23684210526316,54,76,0.11486268534373319
t2m_pre_mean_hr,3,4,mannwhitneyu,1194.0,0.011740352714536287,-0.2732805842970176,66.0,72.0,-6.0,68.52830188679245,72.40322580645162,53,62,0.030818425875657755
t2m_pre_mean_hr,3,5,mannwhitneyu,1893.5,0.29825780722526785,-0.10683962264150944,66.0,68.0,-2.0,68.52830188679245,68.5875,53,80,0.417560930115375
t2m_pre_mean_hr,3,6,mannwhitneyu,1752.5,0.2110168442448338,-0.1298411122144985,66.0,69.5,-3.5,68.52830188679245,70.23684210526316,53,76,0.3408733637801161
t2m_pre_mean_hr,4,5,mannwhitneyu,3022.0,0.025809436900642187,0.21854838709677418,72.0,68.0,4.0,72.40322580645162,68.5875,62,80,0.060222019434831776
t2m_pre_mean_hr,4,6,mannwhitneyu,2606.0,0.2851988732216313,0.10611205432937182,72.0,69.5,2.5,72.40322580645162,70.23684210526316,62,76,0.417560930115375
t2m_pre_mean_hr,5,6,mannwhitneyu,2824.0,0.44445920975556785,-0.07105263157894737,68.0,69.5,-1.5,68.5875,70.23684210526316,80,76,0.5185357447148292
t2m_pre_sdnn,0,1,mannwhitneyu,2874.0,2.2393597331733778e-07,-0.42427884615384615,117.0,162.0,-45.0,119.79807692307692,163.57083333333333,104,96,3.359039599760067e-07
t2m_pre_sdnn,0,2,mannwhitneyu,5410.0,1.4619924132001167e-21,0.9266381766381766,117.0,10.149999999999999,106.85,119.79807692307692,19.6,104,54,7.675460169300614e-21
t2m_pre_sdnn,0,3,mannwhitneyu,5540.0,1.3243946070955145e-23,0.9729344729344729,117.0,15.55,101.45,119.79807692307692,18.622222222222224,104,54,2.7812286749005807e-22
t2m_pre_sdnn,0,4,mannwhitneyu,2075.5,0.00012682896166820703,-0.35623449131513646,117.0,153.0,-36.0,119.79807692307692,153.39354838709676,104,62,0.00016646301218952174
t2m_pre_sdnn,0,5,mannwhitneyu,827.5,1.454080215754294e-19,-0.7906123481781376,117.0,207.5,-90.5,119.79807692307692,215.21052631578948,104,76,3.3928538367600193e-19
t2m_pre_sdnn,0,6,mannwhitneyu,1850.5,6.785004723217669e-09,-0.5125131717597471,117.0,194.0,-77.0,119.79807692307692,197.97123287671232,104,73,1.1873758265630922e-08
t2m_pre_sdnn,1,2,mannwhitneyu,4971.5,1.2148347461507828e-20,0.918016975308642,162.0,10.149999999999999,151.85,163.57083333333333,19.6,96,54,4.25192161152774e-20
t2m_pre_sdnn,1,3,mannwhitneyu,4920.5,7.84325850768916e-20,0.8983410493827161,162.0,15.55,146.45,163.57083333333333,18.622222222222224,96,54,2.0588553582684047e-19
t2m_pre_sdnn,1,4,mannwhitneyu,3219.5,0.38685410140866805,0.08182123655913978,162.0,153.0,9.0,163.57083333333333,153.39354838709676,96,62,0.38685410140866805
t2m_pre_sdnn,1,5,mannwhitneyu,2137.0,3.1971509544482158e-06,-0.4141995614035088,162.0,207.5,-45.5,163.57083333333333,215.21052631578948,96,76,4.476011336227502e-06
t2m_pre_sdnn,1,6,mannwhitneyu,2830.0,0.03255106417079066,-0.192351598173516,162.0,194.0,-32.0,163.57083333333333,197.97123287671232,96,73,0.03597749197824231
t2m_pre_sdnn,2,3,mannwhitneyu,844.0,0.00016284687268804002,-0.42112482853223593,10.149999999999999,15.55,-5.400000000000002,19.6,18.622222222222224,54,54,0.00020116378390875532
t2m_pre_sdnn,2,4,mannwhitneyu,149.5,3.276940318771798e-17,-0.9106929510155317,10.149999999999999,153.0,-142.85,19.6,153.39354838709676,54,62,6.255976972200706e-17
t2m_pre_sdnn,2,5,mannwhitneyu,21.5,8.646238368790689e-22,-0.9895224171539961,10.149999999999999,207.5,-197.35,19.6,215.21052631578948,54,76,6.052366858153483e-21
t2m_pre_sdnn,2,6,mannwhitneyu,78.5,2.762871366540058e-20,-0.9601725012683917,10.149999999999999,194.0,-183.85,19.6,197.97123287671232,54,73,8.288614099620174e-20
t2m_pre_sdnn,3,4,mannwhitneyu,129.0,1.240513277233207e-17,-0.9229390681003584,15.55,153.0,-137.45,18.622222222222224,153.39354838709676,54,62,2.605077882189735e-17
t2m_pre_sdnn,3,5,mannwhitneyu,8.0,4.673411795345963e-22,-0.9961013645224172,15.55,207.5,-191.95,18.622222222222224,215.21052631578948,54,76,4.907082385113261e-21
t2m_pre_sdnn,3,6,mannwhitneyu,47.0,6.537173803873135e-21,-0.976154236428209,15.55,194.0,-178.45,18.622222222222224,197.97123287671232,54,73,2.745612997626717e-20
t2m_pre_sdnn,4,5,mannwhitneyu,1144.5,2.1704740676137196e-07,-0.5142190152801358,153.0,207.5,-54.5,153.39354838709676,215.21052631578948,62,76,3.359039599760067e-07
t2m_pre_sdnn,4,6,mannwhitneyu,1652.0,0.007025305050028487,-0.26999558108705257,153.0,194.0,-41.0,153.39354838709676,197.97123287671232,62,73,0.008196189225033236
t2m_pre_sdnn,5,6,mannwhitneyu,3152.0,0.15169201180205774,0.1362653208363374,207.5,194.0,13.5,215.21052631578948,197.97123287671232,76,73,0.15927661239216065
t2m_pre_rmssd,0,1,mannwhitneyu,2497.5,2.4644462746330954e-10,-0.5145772594752187,10.5,15.850000000000001,-5.350000000000001,11.70761904761905,16.360204081632652,105,98,1.2938342941823753e-09
t2m_pre_rmssd,0,2,mannwhitneyu,3287.0,0.10052216347819845,0.15943562610229278,10.5,9.15,1.3499999999999996,11.70761904761905,9.52962962962963,105,54,0.13193533956513548
t2m_pre_rmssd,0,3,mannwhitneyu,1578.0,4.870502755320031e-06,-0.4433862433862434,10.5,14.7,-4.199999999999999,11.70761904761905,14.87222222222222,105,54,1.2785069732715083e-05
t2m_pre_rmssd,0,4,mannwhitneyu,2353.5,0.0028380426506119335,-0.2769585253456221,10.5,13.6,-3.0999999999999996,11.70761904761905,14.259677419354839,105,62,0.0042570639759179005
t2m_pre_rmssd,0,5,mannwhitneyu,1284.5,1.1939618863646474e-15,-0.6902953586497891,10.5,18.8,-8.3,11.70761904761905,21.643037974683548,105,79,1.2536599806828798e-14
t2m_pre_rmssd,0,6,mannwhitneyu,2373.5,7.407984447779654e-05,-0.3541496598639456,10.5,14.0,-3.5,11.70761904761905,15.321428571428568,105,70,0.00012963972783614394
t2m_pre_rmssd,1,2,mannwhitneyu,4494.5,1.1195857944162436e-12,0.6986016628873771,15.850000000000001,9.15,6.700000000000001,16.360204081632652,9.52962962962963,98,54,7.837100560913705e-12
t2m_pre_rmssd,1,3,mannwhitneyu,2967.5,0.21648777583794465,0.12150415721844293,15.850000000000001,14.7,1.1500000000000021,16.360204081632652,14.87222222222222,98,54,0.2392759627682546
t2m_pre_rmssd,1,4,mannwhitneyu,3789.5,0.008526320828512419,0.24736668861092825,15.850000000000001,13.6,2.2500000000000018,16.360204081632652,14.259677419354839,98,62,0.011936849159917386
t2m_pre_rmssd,1,5,mannwhitneyu,2695.0,0.0005224161594190271,-0.3037974683544304,15.850000000000001,18.8,-2.9499999999999993,16.360204081632652,21.643037974683548,98,79,0.0008439030267538129
t2m_pre_rmssd,1,6,mannwhitneyu,3872.0,0.1554603719285539,0.12886297376093295,15.850000000000001,14.0,1.8500000000000014,16.360204081632652,15.321428571428568,98,70,0.19203928297056655
t2m_pre_rmssd,2,3,mannwhitneyu,543.0,1.907014244450868e-08,-0.6275720164609053,9.15,14.7,-5.549999999999999,9.52962962962963,14.87222222222222,54,54,8.009459826693647e-08
t2m_pre_rmssd,2,4,mannwhitneyu,940.0,4.8990907471645636e-05,-0.43847072879330945,9.15,13.6,-4.449999999999999,9.52962962962963,14.259677419354839,54,62,9.352809608223257e-05
t2m_pre_rmssd,2,5,mannwhitneyu,373.5,7.636989176511168e-16,-0.8248945147679325,9.15,18.8,-9.65,9.52962962962963,21.643037974683548,54,79,1.2536599806828798e-14
t2m_pre_rmssd,2,6,mannwhitneyu,912.5,8.473373089496934e-07,-0.5171957671957672,9.15,14.0,-4.85,9.52962962962963,15.321428571428568,54,70,2.5420119268490805e-06
t2m_pre_rmssd,3,4,mannwhitneyu,1913.0,0.1867509280105405,0.14277180406212664,14.7,13.6,1.0999999999999996,14.87222222222222,14.259677419354839,54,62,0.2178760826789639
t2m_pre_rmssd,3,5,mannwhitneyu,1241.0,4.4040707887575304e-05,-0.4181903422409752,14.7,18.8,-4.100000000000001,14.87222222222222,21.643037974683548,54,79,9.248548656390815e-05
t2m_pre_rmssd,3,6,mannwhitneyu,1958.5,0.7318037279698051,0.036243386243386244,14.7,14.0,0.6999999999999993,14.87222222222222,15.321428571428568,54,70,0.7318037279698051
t2m_pre_rmssd,4,5,mannwhitneyu,1230.5,4.202143023661011e-07,-0.49755002041649654,13.6,18.8,-5.200000000000001,14.259677419354839,21.643037974683548,62,79,1.470750058281354e-06
t2m_pre_rmssd,4,6,mannwhitneyu,1964.0,0.3487370638603703,-0.09493087557603687,13.6,14.0,-0.40000000000000036,14.259677419354839,15.321428571428568,62,70,0.3661739170533888
t2m_pre_rmssd,5,6,mannwhitneyu,3851.0,3.645036399738373e-05,0.39276672694394216,18.8,14.0,4.800000000000001,21.643037974683548,15.321428571428568,79,70,8.505084932722871e-05
t2m_pre_hf,0,1,mannwhitneyu,2584.5,5.655533519737639e-10,-0.5027417027417027,37.0,116.0,-79.0,71.84761904761905,239.3838383838384,105,99,1.3196244879387825e-09
t2m_pre_hf,0,2,mannwhitneyu,2997.0,0.5568958845556824,0.05714285714285714,37.0,33.5,3.5,71.84761904761905,84.22222222222223,105,54,0.5648317271378493
