cluster,variable,n,mean,std,median,q1,q3,min,max,iqr
0,t2m_pre_mean_rr,63,813.952380952381,147.33968089696768,814.0,762.5,870.0,100.0,1139.0,107.5
1,t2m_pre_mean_rr,57,806.719298245614,165.96167311266746,785.0,730.0,899.0,68.0,1203.0,169.0
2,t2m_pre_mean_rr,60,855.1800000000001,160.51150737563958,862.0,784.5,935.5,85.8,1296.0,151.0
3,t2m_pre_mean_rr,65,841.7538461538461,180.14291468591944,858.0,773.0,962.0,105.0,1097.0,189.0
4,t2m_pre_mean_rr,52,838.2884615384615,118.59939763403251,824.5,758.0,942.75,589.0,1109.0,184.75
5,t2m_pre_mean_rr,73,856.4109589041096,198.19363676973126,888.0,802.0,976.0,92.0,1126.0,174.0
6,t2m_pre_mean_rr,52,876.1115384615385,156.88130851791303,886.5,813.75,967.0,86.8,1140.0,153.25
7,t2m_pre_mean_rr,54,877.4851851851852,155.16027794462042,905.5,796.0,976.0,113.2,1079.0,180.0
8,t2m_pre_mean_rr,54,825.425925925926,119.56266247688048,836.0,739.0,901.25,592.0,1187.0,162.25
0,t2m_pre_mean_hr,63,73.95238095238095,11.09842850170119,73.0,68.5,77.5,53.0,113.0,9.0
1,t2m_pre_mean_hr,57,75.24561403508773,11.726466861875178,76.0,67.0,82.0,50.0,102.0,15.0
2,t2m_pre_mean_hr,60,70.65,11.494766679535049,70.0,64.0,76.0,46.0,128.0,12.0
3,t2m_pre_mean_hr,65,69.15384615384616,13.15084451807037,69.0,61.0,77.0,10.0,115.0,16.0
4,t2m_pre_mean_hr,52,73.03846153846153,10.60699277014662,73.0,63.75,79.25,54.0,102.0,15.5
5,t2m_pre_mean_hr,73,69.13698630136986,10.770735903483454,67.0,61.0,75.0,53.0,104.0,14.0
6,t2m_pre_mean_hr,52,68.4423076923077,9.161756534935313,67.5,61.75,73.0,53.0,100.0,11.25
7,t2m_pre_mean_hr,53,68.75471698113208,10.771946578564009,66.0,61.0,74.0,53.0,98.0,13.0
8,t2m_pre_mean_hr,54,74.22222222222223,10.945261172688609,71.5,66.25,81.0,51.0,101.0,14.75
0,t2m_pre_sdnn,63,133.04761904761904,39.98767091097945,129.0,106.0,152.5,34.0,258.0,46.5
1,t2m_pre_sdnn,56,104.05357142857143,42.374700703842855,93.5,77.5,126.5,39.0,250.0,49.0
2,t2m_pre_sdnn,57,219.47368421052633,88.61838435174036,209.0,185.0,239.0,59.0,610.0,54.0
3,t2m_pre_sdnn,62,210.96451612903223,105.62044185027477,205.5,156.5,269.75,17.0,626.0,113.25
4,t2m_pre_sdnn,50,176.30200000000002,68.79244883216857,172.0,119.5,219.75,32.1,318.0,100.25
5,t2m_pre_sdnn,72,150.85416666666666,82.32761407166126,161.5,105.0,191.0,6.8,339.0,86.0
6,t2m_pre_sdnn,51,175.6078431372549,58.16083851918662,177.0,140.0,225.0,29.0,274.0,85.0
7,t2m_pre_sdnn,54,19.524074074074072,18.581893552445333,16.0,12.725,18.7,4.8,130.0,5.975
8,t2m_pre_sdnn,54,19.6,29.711702795680825,10.149999999999999,8.7,16.2,6.4,159.0,7.5
0,t2m_pre_rmssd,63,13.007936507936508,6.260714727499533,11.7,9.7,15.0,3.5,40.0,5.300000000000001
