row_id,cluster_label
0,2
1,2
2,25
3,2
4,2
5,2
6,25
7,24
8,2
9,21
10,25
11,2
12,2
13,2
14,2
15,25
16,2
17,18
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,25
26,2
27,24
28,2
29,2
30,24
31,25
32,0
33,17
34,24
35,2
36,2
37,24
38,2
39,23
40,2
41,25
42,17
43,2
44,2
45,2
46,0
47,25
48,2
49,0
50,6
51,2
52,24
53,2
54,2
55,2
56,2
57,20
58,2
59,2
60,2
61,2
62,23
63,6
64,25
65,25
66,25
67,2
68,17
69,23
70,2
71,24
72,25
73,2
74,2
75,24
76,2
77,2
78,2
79,25
80,19
81,2
82,25
83,2
84,24
85,23
86,2
87,2
88,2
89,25
90,25
91,2
92,0
93,24
94,0
95,2
96,2
97,2
98,11
99,2
100,3
101,23
102,2
103,2
104,24
105,2
106,2
107,25
108,19
109,2
110,24
111,2
112,2
113,7
114,25
115,24
116,2
117,2
118,2
119,17
120,2
121,2
122,2
123,2
124,10
125,25
126,10
127,2
128,2
129,25
130,2
131,6
132,2
133,2
134,2
135,2
136,17
137,24
138,2
139,2
140,20
141,2
142,2
143,23
144,21
145,2
146,2
147,8
148,2
149,17
150,2
151,2
152,14
153,2
154,25
155,15
156,2
157,2
158,2
159,2
160,2
161,2
162,25
163,24
164,25
165,2
166,2
167,20
168,2
169,2
170,25
171,2
172,2
173,2
174,24
175,2
176,24
177,25
178,2
179,2
180,2
181,2
182,2
183,24
184,24
185,23
186,19
187,0
188,2
189,2
190,2
191,2
192,2
193,8
194,2
195,2
196,21
197,25
198,24
199,2
200,2
201,2
202,2
203,24
204,2
205,2
206,2
207,19
208,2
209,2
210,2
211,2
212,2
213,2
214,21
215,2
216,7
217,0
218,2
219,25
220,2
221,2
222,19
223,2
224,6
225,17
226,2
227,2
228,2
229,2
230,2
231,21
232,24
233,2
234,21
235,2
236,2
237,24
238,20
239,2
240,2
241,2
242,2
243,2
244,21
245,2
246,0
247,2
248,25
249,2
250,11
251,2
252,2
253,18
254,22
255,2
256,17
257,24
258,2
259,2
260,17
261,25
262,0
263,2
264,6
265,2
266,2
267,2
268,2
269,14
270,2
271,25
272,2
273,11
274,17
275,2
276,2
277,17
278,2
279,25
280,24
281,2
282,25
283,2
284,23
285,24
286,2
287,25
288,24
289,2
290,2
291,0
292,24
293,2
294,24
295,25
296,2
297,2
298,2
299,2
300,2
301,24
302,24
303,2
304,2
305,2
306,2
307,2
308,12
309,2
310,9
311,2
312,25
313,25
314,24
315,2
316,2
317,2
318,2
319,24
320,2
321,2
322,2
323,2
324,2
325,21
326,2
327,24
328,2
329,2
330,25
331,2
332,11
333,2
334,23
335,2
336,2
337,2
338,2
339,2
340,8
341,2
342,20
343,23
344,2
345,2
346,25
347,2
348,2
349,8
350,2
351,2
352,2
353,14
354,2
355,2
356,2
357,25
358,2
359,2
360,17
361,2
362,2
363,25
364,2
365,2
366,2
367,0
368,2
369,25
370,17
371,2
372,20
373,2
374,23
375,2
376,24
377,2
378,2
379,2
380,2
381,2
382,6
383,9
384,2
385,2
386,12
387,0
388,2
389,2
390,25
391,20
392,2
393,3
394,9
395,2
396,2
397,25
398,1
399,24
400,2
401,25
402,2
403,2
404,2
405,16
406,21
407,25
408,11
409,2
410,18
411,2
412,3
413,2
414,2
415,2
416,17
417,2
418,2
419,25
420,25
421,2
422,2
423,2
424,18
425,17
426,13
427,4
428,25
429,2
430,2
431,23
432,2
433,5
434,2
435,2
436,19
437,2
438,2
439,17
440,2
441,14
442,25
443,2
444,2
445,25
446,15
447,2
448,2
449,2
450,2
451,2
452,2
453,25
454,2
455,2
456,2
457,18
458,17
459,13
460,4
461,25
462,2
463,2
464,23
465,2
466,5
467,2
468,2
469,19
470,2
471,2
472,17
473,2
474,14
475,25
476,2
477,2
478,25
479,15
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,25
494,2
495,2
496,2
497,2
498,25
499,2
500,2
501,2
502,21
503,2
504,2
505,2
506,24
507,2
508,2
509,20
510,2
511,2
512,0
513,21
514,17
515,17
516,2
517,24
518,2
519,2
520,2
521,24
522,2
523,25
524,17
525,2
526,2
527,2
528,17
529,25
