sex__age_group,PC1,PC2,n,embedding,grouping,sex__bmi_cat,sex__bp_cat,age_group__bmi_cat,age_group__bp_cat,bmi_cat__bp_cat
1 | 60-69,-0.04514252392646717,0.48058979885885694,162,PCA_Integrated,sex__age_group,,,,,
1 | 70-79,-0.22833954749355545,0.08899750622004116,167,PCA_Integrated,sex__age_group,,,,,
1 | 80+,-0.08807590978697143,-0.5252605569180602,29,PCA_Integrated,sex__age_group,,,,,
1 | <60,-0.8782682177586131,-0.6017200559797357,8,PCA_Integrated,sex__age_group,,,,,
2 | 60-69,0.4068348936710225,-0.4785659676992076,57,PCA_Integrated,sex__age_group,,,,,
2 | 70-79,0.2754387467754978,-0.321126869352686,94,PCA_Integrated,sex__age_group,,,,,
2 | 80+,0.5519632298595298,-1.077036681756119,11,PCA_Integrated,sex__age_group,,,,,
,-0.946688028059939,-0.14659082513549704,17,PCA_Integrated,sex__bmi_cat,1 | low,,,,
,-0.5076088801591466,0.04894387209529605,114,PCA_Integrated,sex__bmi_cat,1 | normal,,,,
,0.13453375837965087,0.33342010600405775,130,PCA_Integrated,sex__bmi_cat,1 | obesity,,,,
,0.013767426594329038,0.24990136365078341,105,PCA_Integrated,sex__bmi_cat,1 | overweight,,,,
,-0.13924789285739467,-1.610012131362691,6,PCA_Integrated,sex__bmi_cat,2 | low,,,,
,-0.43472039272310825,-0.11154664030484138,47,PCA_Integrated,sex__bmi_cat,2 | normal,,,,
,1.1536034494612368,-0.2540373439897457,54,PCA_Integrated,sex__bmi_cat,2 | obesity,,,,
,0.2455947364495822,-0.7728251385521072,57,PCA_Integrated,sex__bmi_cat,2 | overweight,,,,
,1.7214050421075877,0.9486998751334296,105,PCA_Integrated,sex__bp_cat,,1 | high,,,
,-0.9033473940793073,-0.1032247989792722,261,PCA_Integrated,sex__bp_cat,,1 | normal,,,
,1.9442604465035906,0.1619327479841564,56,PCA_Integrated,sex__bp_cat,,2 | high,,,
,-0.49863374602591254,-0.7568522985419706,108,PCA_Integrated,sex__bp_cat,,2 | normal,,,
,-1.3259621704558395,-0.37919843964792876,7,PCA_Integrated,age_group__bmi_cat,,,60-69 | low,,
,-0.25509888362289007,0.1739968602937887,62,PCA_Integrated,age_group__bmi_cat,,,60-69 | normal,,
,0.27046160407278835,0.3873213003653073,91,PCA_Integrated,age_group__bmi_cat,,,60-69 | obesity,,
,0.27732813678554097,0.12199377393826485,59,PCA_Integrated,age_group__bmi_cat,,,60-69 | overweight,,
,-0.3070481176514594,-0.6557326479972704,15,PCA_Integrated,age_group__bmi_cat,,,70-79 | low,,
,-0.7630097405714259,0.21416361916815854,76,PCA_Integrated,age_group__bmi_cat,,,70-79 | normal,,
,0.555392974887746,-0.10487477436722834,84,PCA_Integrated,age_group__bmi_cat,,,70-79 | obesity,,
,0.04302313864072829,-0.1506314705858072,86,PCA_Integrated,age_group__bmi_cat,,,70-79 | overweight,,
,-0.0019303484093965233,-1.0701523388046668,17,PCA_Integrated,age_group__bmi_cat,,,80+ | normal,,
,1.3753106686474648,0.7034695854872242,7,PCA_Integrated,age_group__bmi_cat,,,80+ | obesity,,
,-0.2023491824492861,-0.9433279313791499,15,PCA_Integrated,age_group__bmi_cat,,,80+ | overweight,,
,-0.7435973008535856,-1.422456885129901,6,PCA_Integrated,age_group__bmi_cat,,,<60 | normal,,
,1.9140904672195507,1.0623930748395907,66,PCA_Integrated,age_group__bp_cat,,,,60-69 | high,
,-0.7219181096296061,-0.12771670381132674,153,PCA_Integrated,age_group__bp_cat,,,,60-69 | normal,
,1.7163080390973962,0.4927610852142169,81,PCA_Integrated,age_group__bp_cat,,,,70-79 | high,
,-0.840346741118978,-0.30687216712642873,180,PCA_Integrated,age_group__bp_cat,,,,70-79 | normal,
,1.7339423158655973,-0.09641929040297725,14,PCA_Integrated,age_group__bp_cat,,,,80+ | high,
,-0.7983768568263733,-0.9896188301653605,26,PCA_Integrated,age_group__bp_cat,,,,80+ | normal,
,-0.7152431973266284,-0.8173985425933328,10,PCA_Integrated,age_group__bp_cat,,,,<60 | normal,
,1.0644073791053923,-0.8716852913863281,6,PCA_Integrated,bmi_cat__bp_cat,,,,,low | high
,-1.371507535811511,-0.4071767686565662,17,PCA_Integrated,bmi_cat__bp_cat,,,,,low | normal
,1.3941667587468385,0.6271466542866357,40,PCA_Integrated,bmi_cat__bp_cat,,,,,normal | high
,-1.1079829846777054,-0.20453683344569606,121,PCA_Integrated,bmi_cat__bp_cat,,,,,normal | normal
,2.0483065307704003,0.7880188284849595,69,PCA_Integrated,bmi_cat__bp_cat,,,,,obesity | high
,-0.5352102240251844,-0.21518871269896497,115,PCA_Integrated,bmi_cat__bp_cat,,,,,obesity | normal
,1.8726054169094408,0.7489710258155043,46,PCA_Integrated,bmi_cat__bp_cat,,,,,overweight | high
,-0.6094428397224443,-0.45055221466940554,116,PCA_Integrated,bmi_cat__bp_cat,,,,,overweight | normal
